PLM登録に必要な情報,,,2022/7/26,15:22,↓入力し分類と順番を記入,,,,,,,R始まりは推奨品名,,,,,,,,,,,画像埋め込み時行高さ50,,,,,,,,,,,,,,,,,,,,,,,入力,,,入力,,,入力,,,入力,,,入力,,,入力,,,入力,,,入力,,,入力,,,入力,,,入力,,,入力,,,,,,,
提出日,確定状況,編集日,,Idマージ　自動転記,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,分類 ID,新規追加,新規追加,LV,L1,L2,L3,L4,L5,L6,XA3A移行数,XA3P移行数,画像挿入,自動転記の為入力不要,,英語文字数,K列からの自動転記,,,,,,,,,,,,,,,,,,,分類属性No1,,,分類属性No2,,,分類属性No3,,,分類属性No4,,,分類属性No5,,,分類属性No6,,,分類属性No7,,,分類属性No8,,,分類属性No9,,,分類属性No10,,,分類属性No11,,,分類属性　TOP,,,,,,,
NSSOL提出日,確定状況,確定日,品名タイプ,並べ替え用ID,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,PLM ID,品名ID,語彙マスタID,Lv,L1-J,L2-J,L3-J,L4-J,L5-J,L6-J,XA3A移行数,XA3P移行数,アイコン画像,最下層名称　日本語（Japanese）,最下層名称　マスタ（master),英B数,内部名,DFK辞典,分類ツリー　英語（US)　English United States,分類ツリー　英語(UK)　English United Kingdom,分類ツリー　韓国語　Korean,分類ツリー 中国語簡体　Chinese China,分類ツリー 中国語繁体　Chinese Taiwan,GL勘定コード,分類/品名,部品分類,規格化対象,ケーブルASSYの有無,納品WTP,品目WTP,名称分類,品名説明,具体的な製品の用途例,品名及び分類属性に対しての懸念,主な部品メーカー,ID-1,分類属性-1,分類属性値-1,ID-2,分類属性-2,分類属性値-2,ID-3,分類属性-3,分類属性値-3,ID-4,分類属性-4,分類属性値-4,ID-5,分類属性-5,分類属性値-5,ID-6,分類属性-6,分類属性値-6,ID-7,分類属性-7,分類属性値-7,ID-8,分類属性-8,分類属性値-8,ID-9,分類属性-9,分類属性値-9,ID-10,分類属性-10,分類属性値-10,ID-11,分類属性-11,分類属性値-11,ID-TOP,分類属性-TOP,分類属性値-TOP,付与ID,言語種類,最下層名称の読み方　カタカナ,日本語頭文字,略語の正式名称
2021/5/10,確定,4/13,分類,004_-_-_-_-_-,004,-,-,-,-,-,138,138,SV,1,機械部品,,,,,,,,,機械部品,MECHANICAL_PARTS,16,0138,機械部品,,,MECHANICAL_PARTS,,,,分類,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,品目,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,漢字のみ,キカイブヒン,キ,
2022/5/26,再確定,5/26,分類,004_001,004,001,,,,,660,660,SV,2,機械部品,動力発生機器部品,,,,,,,,動力発生機器部品,POWER_GENERATION_PARTS,22,0660,DFK辞典なし,,,POWER_GENERATION_PARTS,,,,分類,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,品目,一般用語,モータはじめ動力を発生するデバイス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,漢字のみ,ドウリョクハッセイキキブヒン,ド,
2021/5/10,確定,4/13,分類,004_001_001,004,001,001,,,,666,666,SV,3,機械部品,動力発生機器部品,モータ,,,,,,,モータ,MOTOR,5,0666,DFK辞典なし,,,MOTOR,,,,分類,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,回転型のモータ全般,,,"PANASONIC,SANYO",,,,,,,2,ブレーキ有無,"有,無",,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,カタカナのみ,モータ,モ,
2021/5/10,確定,4/13,分類＝品名,004_001_001_001,004,001,001,001,,,668,668,SV,4,機械部品,動力発生機器部品,モータ,減速機付サーボモータ,,,3,10,,減速機付サーボモータ,SERVO_MOTOR_WITH_REDUCER,24,0668,DFK辞典なし,,,SERVO_MOTOR_WITH_REDUCER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,サーボモータに予め減速機が取り付いた品,,,"PANASONIC,SANYO",118,モータ出力(W),実数値,55,減速比,実数値,2,ブレーキ有無,"有,無",548,エンコーダタイプ,"インクリメンタル型,アブソリュート型,インクリアブソ兼用型",622,減速機タイプ１,"直行軸,平行軸,同芯軸",654,減速機タイプ２,"平行軸歯車型,ヘリカル型,ベベルギヤ型,ハイポイド型,ウォーム型,サイクロ型,ハーモニック型,ボール型,遊星型,ボールネジ内臓型,その他",274,減速機潤滑材,"グリース潤滑,オイル潤滑",,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",668,漢字+カタカナ,ゲンソクキツキサーボモータ,ゲ,
2021/5/10,確定,4/13,分類＝品名,004_001_001_002,004,001,001,002,,,669,669,SV,4,機械部品,動力発生機器部品,モータ,サーボモータ,,,32,1,,サーボモータ,SERVO_MOTOR,11,0669,サーボモータ,,,SERVO_MOTOR,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,サーボモータ,,,"PANASONIC,SANYO",118,モータ出力(W),実数値,,,,2,ブレーキ有無,"有,無",548,エンコーダタイプ,"インクリメンタル型,アブソリュート型,インクリアブソ兼用型",,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",669,カタカナのみ,サーボモータ,サ,
2021/5/17,再確定,4/13,分類＝品名,004_001_001_003,004,001,001,003,,,670,670,SV,4,機械部品,動力発生機器部品,モータ,減速機付ステッピングモータ,,,,1,,減速機付ステッピングモータ,STEPPING_MOTOR_WITH_REDUCER,27,0670,DFK辞典なし,,,STEPPING_MOTOR_WITH_REDUCER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ステッピングモータに予め減速機が取り付いた品,,,"ORIENTAL,SANYO",436,モータ外形枠,"28角相当,42角相当,56角相当,60角相当,85角相当",55,減速比,実数値,2,ブレーキ有無,"有,無",80,エンコーダの有無,"有,無",622,減速機タイプ１,"直行軸,平行軸,同芯軸",654,減速機タイプ２,"平行軸歯車型,ヘリカル型,ベベルギヤ型,ハイポイド型,ウォーム型,サイクロ型,ハーモニック型,ボール型,遊星型,ボールネジ内臓型,その他",425,ステッピングモータ仕様,"2相,5相",548,エンコーダタイプ,"インクリメンタル型,アブソリュート型,インクリアブソ兼用型",673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",670,漢字+カタカナ,ゲンソクキツキステッピングモータ,ゲ,
2021/5/10,確定,4/13,分類＝品名,004_001_001_004,004,001,001,004,,,671,671,SV,4,機械部品,動力発生機器部品,モータ,ステッピングモータ,,,66,,,ステッピングモータ,STEPPING_MOTOR,14,0671,DFK辞典なし,,,STEPPING_MOTOR,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ステッピングモータ,,,"ORIENTAL,SANYO",436,モータ外形枠,"28角相当,42角相当,56角相当,60角相当,85角相当",425,ステッピングモータ仕様,"2相,5相",2,ブレーキ有無,"有,無",80,エンコーダの有無,"有,無",,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",671,カタカナのみ,ステッピングモータ,ス,
2021/5/18,再確定,4/13,分類＝品名,004_001_001_005,004,001,001,005,,,672,672,SV,4,機械部品,動力発生機器部品,モータ,減速機付ブラシレスモータ,,,,1,,減速機付ブラシレスモータ,BRUSHLESS_MOTOR_WITH_REDUCER,28,0672,DFK辞典なし,,,BRUSHLESS_MOTOR_WITH_REDUCER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ブラシレスモータに予め減速機が取り付いた品,,,TSUKASA,55,減速比,実数値,,,,2,ブレーキ有無,"有,無",622,減速機タイプ１,"直行軸,平行軸,同芯軸",654,減速機タイプ２,"平行軸歯車型,ヘリカル型,ベベルギヤ型,ハイポイド型,ウォーム型,サイクロ型,ハーモニック型,ボール型,遊星型,ボールネジ内臓型,その他",,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",672,漢字+カタカナ,ゲンソクキツキブラシレスモータ,ゲ,
2021/5/10,確定,4/13,分類＝品名,004_001_001_006,004,001,001,006,,,673,673,SV,4,機械部品,動力発生機器部品,モータ,ブラシレスモータ,,,19,,,ブラシレスモータ,BRUSHLESS_MOTOR,15,0673,DFK辞典なし,,,BRUSHLESS_MOTOR,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ブラシレスモータ,,,TSUKASA,,,,,,,2,ブレーキ有無,"有,無",,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",673,カタカナのみ,ブラシレスモータ,ブ,
2021/5/10,確定,5/7,分類＝品名,004_001_001_007,004,001,001,007,,,1014,1014,SV,4,機械部品,動力発生機器部品,モータ,ブラシモータ,,,,,,ブラシモータ,BRUSH_MOTOR,11,1014,DFK辞典なし,,,BRUSH_MOTOR,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ブラシモータ,,,TSUKASA,89,電源電圧(V),実数値,,,,2,ブレーキ有無,"有,無",,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1014,カタカナのみ,ブラシモータ,ブ,
2021/5/17,再確定,5/7,分類＝品名,004_001_001_008,004,001,001,008,,,667,667,SV,4,機械部品,動力発生機器部品,モータ,減速機付モータ,,,11,,,減速機付モータ,MOTOR_WITH_REDUCER,18,0667,DFK辞典なし,,,MOTOR_WITH_REDUCER,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,汎用モータに予め減速機が取り付いた品,,,,89,電源電圧(V),実数値,118,モータ出力(W),実数値,55,減速比,実数値,622,減速機タイプ１,"直行軸,平行軸,同芯軸",200,減速機取付方法,"フランジ式,脚式,DFK特注式",2,ブレーキ有無,"有,無",,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",667,漢字+カタカナ,ゲンソクキツキモータ,ゲ,
2021/5/10,確定,4/13,分類＝品名,004_001_002,004,001,002,,,,664,664,SV,3,機械部品,動力発生機器部品,電動アクチュエータ,,,,10,,,電動アクチュエータ,ELECTRICAL_ACTUATOR,19,0664,DFK辞典なし,,,ELECTRICAL_ACTUATOR,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,ボールネジやガイドが内蔵されて直線動作を伴うモータやモータドライバが一体になっているアクチュエータ,,,"IAI,ORIENTAL",717,移動ストローク(mm),実数値,,,,,,,,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",664,漢字+カタカナ,デンドウアクチュエータ,デ,
